experiment_id,gene_id,gene_name,gene_role,edit_type,edit_notation
ZHU2012_CHY,AO090166000084,AosedD,remove_protease,disruption,ΔAosedD::pyrG
ZHU2012_HLY,AO090166000084,AosedD,remove_protease,disruption,ΔAosedD::pyrG
YOON2010_CHY,AO090010000769,Aovps10,fix_misrouting,disruption,ΔAovps10::pyrG
YOON2010_HLY,AO090010000769,Aovps10,fix_misrouting,disruption,ΔAovps10::pyrG
JIN2007_PEPA,TODO,pepA,remove_protease,disruption,ΔpepA::adeA
JIN2007_PEPE,TODO,pepE,remove_protease,disruption,ΔpepE::adeA
JIN2007_ALPA,TODO,alpA,remove_protease,disruption,ΔalpA::adeA
JIN2007_TPPA,TODO,tppA,remove_protease,disruption,ΔtppA::adeA
JIN2007_PALB,TODO,palB,target_regulator,TODO,ΔpalB::adeA
JIN2007_TPPA_PEPE,TODO,tppA,remove_protease,disruption,ΔtppA::argB
JIN2007_TPPA_PEPE,TODO,pepE,remove_protease,disruption,ΔpepE::adeA
JIN2007_TPPA_PALB,TODO,tppA,remove_protease,disruption,ΔtppA::argB
JIN2007_TPPA_PALB,TODO,palB,target_regulator,TODO,ΔpalB::adeA
